               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  39,             0.03703,            0.015097,                   0,             0.98758,                   1,               0.995,             0.79296,            0.010319,           0.0029678,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.042476,            0.015659,                   0,             0.98598,                   1,               0.995,             0.87607,           0.0067431,           0.0028916,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.030423,              0.0131,                   0,             0.90252,                   1,               0.995,             0.70625,            0.010387,           0.0030975,                   0,             0.00604,             0.00604,             0.00604
                  42,            0.034542,            0.014348,                   0,             0.98725,                   1,               0.995,             0.77943,           0.0069695,            0.002957,                   0,            0.005941,            0.005941,            0.005941
                  43,            0.032928,             0.01436,                   0,             0.98689,                   1,               0.995,             0.72307,            0.009318,           0.0028965,                   0,            0.005842,            0.005842,            0.005842
                  44,            0.031247,            0.012379,                   0,             0.98743,                   1,               0.995,             0.79019,           0.0079263,           0.0030837,                   0,            0.005743,            0.005743,            0.005743
                  45,            0.030166,            0.013946,                   0,             0.98769,                   1,               0.995,             0.79608,           0.0068967,           0.0035935,                   0,            0.005644,            0.005644,            0.005644
                  46,            0.035405,            0.014504,                   0,             0.98924,                   1,               0.995,             0.82491,           0.0087379,           0.0036082,                   0,            0.005545,            0.005545,            0.005545
                  47,             0.03781,            0.015467,                   0,             0.98834,                   1,               0.995,              0.7899,            0.005882,           0.0029202,                   0,            0.005446,            0.005446,            0.005446
                  48,            0.028826,            0.013417,                   0,             0.98707,                   1,               0.995,             0.81571,           0.0069688,           0.0031995,                   0,            0.005347,            0.005347,            0.005347
                  49,            0.041962,            0.013224,                   0,             0.98963,                   1,               0.995,             0.78768,           0.0076202,           0.0032672,                   0,            0.005248,            0.005248,            0.005248
                  50,             0.03282,             0.01402,                   0,             0.98981,                   1,               0.995,             0.84752,           0.0064075,           0.0032508,                   0,            0.005149,            0.005149,            0.005149
                  51,            0.034539,            0.014333,                   0,             0.99022,                   1,               0.995,             0.78727,           0.0066577,           0.0035617,                   0,             0.00505,             0.00505,             0.00505
                  52,            0.027409,            0.011939,                   0,             0.99103,                   1,               0.995,             0.67182,            0.010257,           0.0035935,                   0,            0.004951,            0.004951,            0.004951
